timestamp,kind,side,qty,price,cash,opt_pos,share_pos,fee
2025-09-10 09:30:00,OPTION,BUY,1,199.22160929802388,-19924.160929802387,1,0,
2025-09-10 09:30:00,HEDGE,SELL,100,652.75,45285.564070197615,1,-100,65.275
2025-09-10 09:31:00,OPTION,SELL,1,205.56889585423627,65840.45365562124,0,-100,
2025-09-10 09:32:00,OPTION,SELL,1,205.42101040918487,86380.55469653974,-1,-100,
2025-09-10 09:33:00,OPTION,SELL,1,205.7086727064858,106949.42196718832,-2,-100,
2025-09-10 09:34:00,OPTION,SELL,1,205.99652866698452,127547.07483388677,-3,-100,
2025-09-10 09:35:00,OPTION,BUY,1,200.02911457124156,107542.16337676262,-2,-100,
2025-09-10 09:35:00,HEDGE,BUY,300,653.5700073242188,-88724.90982270027,-2,200,196.07100219726564
2025-09-10 09:36:00,OPTION,BUY,1,199.8378741207023,-108710.6972347705,-1,200,
2025-09-10 09:37:00,OPTION,BUY,1,199.7586141360132,-128688.55864837182,0,200,
2025-09-10 09:38:00,OPTION,BUY,1,199.88885519899432,-148679.44416827126,1,200,
2025-09-10 09:39:00,OPTION,SELL,1,205.80308587790668,-128101.1355804806,0,200,
2025-09-10 09:40:00,OPTION,BUY,1,199.64842142524023,-148067.97772300462,1,200,
2025-09-10 09:40:00,HEDGE,SELL,300,653.25,47711.047276995385,1,-100,195.975
2025-09-10 09:41:00,OPTION,BUY,1,199.5355345271322,27755.493824282166,2,-100,
2025-09-10 09:42:00,OPTION,BUY,1,199.31926378638357,7821.56744564381,3,-100,
2025-09-10 09:43:00,OPTION,BUY,1,199.6263359606153,-12143.066150417722,4,-100,
2025-09-10 09:44:00,OPTION,BUY,1,199.56888213959877,-32101.954364377598,5,-100,
2025-09-10 09:45:00,OPTION,BUY,1,199.28367815437954,-52032.32217981556,6,-100,
2025-09-10 09:45:00,HEDGE,SELL,499,653.1599731445312,273568.5775927064,6,-599,325.9268265991211
2025-09-10 09:46:00,OPTION,BUY,1,199.69724260239713,253596.8533324667,7,-599,
